Code,council,year_of_income,Employee income earners (no.),Employee income earners - median age (years),Total employee income ($m),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Own unincorporated business income earners (no.),Own unincorporated business income earners - median age (years),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Own unincorporated business income as main source of income (%),Investment income earners (no.),Investment income earners - median age (years),Total investment income ($m),Median investment income ($),Mean investment income ($),Investment income as main source of income (%),Superannuation and annuity income earners (no.),Superannuation and annuity income earners - median age (years),Total superannuation and annuity income ($m),Median superannuation and annuity income ($),Mean superannuation and annuity income ($),Superannuation and annuity income as main source of income (%),Total income earners (excl. Government pensions and allowances) (no.),Total income earners (excl. Government pensions and allowances) - median age (years),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - p80/P20 ratio,Total income (excl. Government pensions and allowances) - p80/P50 ratio,Total income (excl. Government pensions and allowances) - p20/P50 ratio,Total income (excl. Government pensions and allowances) - p10/P50 ratio,Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners,Total income (excl. Government pensions and allowances) - income share of top 5% of earners,Total income (excl. Government pensions and allowances) - income share of top 10% of earners,Total income (excl. Government pensions and allowances) - lowest Quartile (%),Total income (excl. Government pensions and allowances) - second Quartile (%),Total income (excl. Government pensions and allowances) - third Quartile (%),Total income (excl. Government pensions and allowances) - highest Quartile (%),Persons who reported gross capital gains (no.),Total value of gross capital gains ($m),Median value of gross capital gains ($),Mean value of gross capital gains ($),Age pension - Department of Veterans' Affairs (no.),Service pension - Department of Veterans' Affairs (no.),Income support supplement - Department of Veterans' Affairs (no.),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Negative income (%),Income inadequately described or not stated (%),Median equivalised total household income (weekly) ($),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Partial income stated (%),All incomes not stated (%),
20110,Alpine Shire Council,2020,"6,490",44,325.4,"42,526","50,135",69.4,"1,903",53,27.6,"7,311","14,522",11.9,"5,569",52,47.6,332,"8,546",16.3,195,59,5.0,"18,089","25,893",1.5,"7,743",49,392.6,"41,010","50,698",5.49,1.93,0.35,0.12,0.472,6.3,18.9,30.4,31.1,30.1,22.9,15.9,595,17.5,"3,124","29,388",4,69,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
20260,Ararat Rural City Council,2020,"5,333",41,275.7,"46,711","51,689",73.4,"1,292",54,41.6,"11,861","32,222",11.0,"4,003",52,30.5,229,"7,631",14.0,141,56,3.7,"17,569","26,462",1.3,"6,209",47,341.3,"46,504","54,969",5.20,1.84,0.35,0.13,0.461,6.6,18.7,29.6,28.1,28.2,24.9,18.8,410,8.6,"1,795","20,866",-,29,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
20570,Ballarat City Council,2020,"55,362",39,"3,252.3","51,302","58,747",79.2,"7,582",46,177.2,"9,000","23,372",5.8,"40,660",45,379.4,101,"9,330",13.2,"1,350",58,33.3,"15,067","24,694",1.3,"61,059",42,"3,721.7","50,767","60,953",4.72,1.80,0.38,0.15,0.449,7.5,19.4,30.0,25.2,26.3,26.5,21.9,"4,290",158.7,"3,139","36,990",23,357,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
20660,Banyule City Council,2020,"68,156",40,"5,012.9","61,256","73,550",75.8,"10,059",44,284.1,"10,546","28,245",6.3,"57,776",45,646.7,290,"11,193",15.8,"1,863",62,59.3,"25,700","31,843",1.5,"76,933",43,"5,717.3","58,553","74,315",5.21,1.88,0.36,0.15,0.473,8.4,21.1,32.3,23.2,22.1,24.1,30.6,"7,436",292.2,"2,524","39,292",10,342,192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
20740,Bass Coast Shire Council,2020,"16,051",44,819.3,"42,814","51,046",66.5,"4,440",51,95.2,"13,534","21,430",12.6,"14,060",53,128.6,243,"9,150",18.2,597,59,17.8,"19,381","29,772",1.9,"20,333",49,"1,026.6","40,532","50,491",5.67,1.92,0.34,0.12,0.478,6.9,19.9,31.5,32.4,30.2,21.9,15.5,"1,715",73.1,"4,405","42,599",-,217,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
20830,Baw Baw Shire Council,2020,"26,816",40,"1,563.8","50,344","58,316",74.5,"6,136",52,113.1,"9,041","18,429",9.7,"20,817",48,180.3,131,"8,663",14.1,715,59,16.7,"12,305","23,405",1.2,"31,204",45,"1,809.5","48,180","57,988",4.91,1.85,0.38,0.15,0.456,6.3,18.5,29.7,26.6,27.7,24.8,20.9,"2,159",65.7,"3,715","30,428",9,240,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
10500,Bayside City Council,2020,"100,498",35,"6,434.0","54,170","64,022",81.3,"15,722",40,348.1,"13,463","22,138",8.2,"72,777",39,338.2,83,"4,647",9.3,"1,368",59,39.5,"18,426","28,841",0.8,"107,275",37,"6,799.3","51,718","63,382",4.71,1.85,0.39,0.19,0.447,6.5,18.8,29.9,24.8,25.8,25.5,23.9,"6,361",190.6,"1,952","29,958",7,180,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21010,Benalla Rural City Council,2020,"6,554",44,351.1,"48,364","53,564",71.0,"1,788",56,17.2,"5,842","9,640",10.1,"5,401",54,46.2,236,"8,563",16.6,235,59,6.5,"22,338","27,481",1.8,"7,961",50,406.4,"43,992","51,046",5.84,1.82,0.31,0.10,0.475,6.2,18.3,29.5,31.0,27.1,25.7,16.1,614,24.8,"3,987","40,360",-,67,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21110,Boroondara City Council,2020,"92,859",39,"8,392.8","61,699","90,383",64.6,"15,995",47,"1,058.0","13,442","66,148",6.2,"97,601",47,"2,469.5","1,218","25,302",26.9,"2,410",68,91.5,"27,938","37,973",1.2,"116,179",45,"11,716.1","60,701","100,845",7.50,2.28,0.30,0.11,0.589,14.5,31.8,43.8,25.8,19.3,18.7,36.2,"19,323","1,102.2","4,142","57,039",7,169,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21180,Brimbank City Council,2020,"99,610",37,"5,377.3","48,382","53,983",82.0,"15,064",37,280.0,"12,933","18,589",8.2,"63,704",40,266.4,56,"4,182",8.4,"1,561",56,34.0,"10,000","21,808",0.8,"106,200",38,"5,672.6","46,673","53,414",4.31,1.73,0.40,0.19,0.419,5.2,16.6,27.4,27.1,29.2,27.4,16.3,"4,164",125.4,"2,324","30,112",5,984,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
